PLUGIN | LOC | FILES | DESC
flashlight                   |     30 |    2 | Provides a flashlight item to regular flashlight usage.
flbuffs                      |    115 |    5 | Lets a faction leader wearing their leader armor rally their faction with a buff, once every 30 minutes.
geck                         |   3603 |   10 | Adds the Guardian of Eden Creation Kit (G.E.C.K) item, which can be used to edit aspects of the server.
geck_crafting                |   1386 |    6 | A GECK integration plugin for crafting. Allows for GECK created recipes to be used on the server, and for players to use a crafting station to craft items using those recipes.
geck_looting                 |   3023 |    8 | A GECK integration plugin for loot containers and item tables. Uses a fake inventory for tetris based container inventories.
geck_perks                   |    685 |    4 | A GECK integration plugin for custom perks.
geck_sounds                  |    616 |    4 | A GECK integration plugin for 3d ambient sounds.
geck_webserver               |    158 |    1 | A Webserver plugin used to network with the GECK for data creation, editing and retrieval. Used by other GECK plugins to retrieve data created in the GECK.
guilds                       |   1662 |    5 | Player created Guilds for wastelanders, claim a base and recruit members to your cause.
house_vault                  |    154 |    3 | A Vault that works with PCasino, gives house owners a percentage of loses.
idreligioncards              |    300 |   16 | Adds equippable ID and Religion Cards.
implants                     |    388 |   13 | Adds Implant items that provide buffs, removed when PKd.
itemcrates                   |     86 |    7 | Item crates that hold a type of item, removing an item lowers the count.
itemspawner                  |    484 |    1 | Adds a searchable, categorised NutScript item menu with rarity selection.
karma                        |    246 |    2 | Adds Karma to players and factions.
leveling                     |    244 |    4 | Leveling system for Fallout RP.
lockpicking                  |    541 |    3 | Lockpicking to unlock doors, containers and teleports.
mining                       |    461 |   15 | Adds Mining and Ore Deposits.
moddable_weapons             |   3876 |  241 | Adds weapons that can be modifyed with attachments.
modulators                   |    382 |    6 | Adds Modulators, can be attached to armors to provide buffs.
netwatch                     |      6 |    1 | Network monitoring and spam detection. Use this for detecting and preventing abusive network behavior.
openai                       |     10 |    2 | Adds in OpenAI integration for NPC dialogue and interactions.
orbital_drops                |    726 |    5 | Periodically spawns orbital drops that players can loot.
perks                        |   1771 |   21 | Fallout Perks, purchased with skill points.
plants                       |    824 |   23 | Adds harvestable and edible plants.
playerkilling                |    215 |    2 | Set PK active on players, if a player dies in that time they lose x levels and have to change their name.
psyker                       |    956 |    3 | Adds Psyker powers, allowing players to use psychic abilities.
radiation                    |    164 |    2 | Adds radiation that takes away from the players max health.
radio                        |   1909 |   12 | Adds Radios that players can tune into and create.
raid                         |   1495 |    4 | Adds the ability to raid and war with other factions.
raidbosses                   |   3335 |    9 | Placeable static raid boss entities with health bars and phase triggers.
raidbossteleporters          |    400 |    3 | Spawnable brahmin that, once fed the correct item, opens a timed teleporter to an admin-placed destination.
refreshingshop               |     51 |    2 | Adds a shop that refreshes with random items every hour.
requesters                   |     54 |    2 | Sends a derma promt to the player, allows them to send back a response.
settingspage                 |    558 |    8 | Settings page in the f1 menu that players can use to adjust their preferences.
slavery                      |    712 |    9 | Slave Collars and related functionality.
smithing                     |   1168 |   52 | Forge iron bars into plates at an anvil, grind plates into power armor component shells at a grindstone, craft shells into unassembled power armor parts at the GECK component bench (blueprint-gated), and assemble those parts into finished power armor at a workbench.
spawning                     |     80 |    3 | Placeable spawns, can be faction specific. Will open a spawn menu when players die.
sporehive                    |     10 |    2 | Adds the Spore Hive, a hive of spore carriers that can be found in the world.  They have the ability to construct a hive that has several constructions and castes.
squads                       |    253 |    2 | Adds a fallout 76 themed squad system.
stamina                      |    169 |    1 | Adds a stamina system to limit running. Edited to work with Fallout Agility and Endurance attributes.
stash                        |    195 |    3 | Adds placeable stash boxes that can be used to store items.
thirsthunger                 |   1661 |   66 | Adds thirst and hunger to the game, which can be managed through items and food.
tradeup                      |    925 |    4 | Allows players to trade up weapons of the same rarity for a random selected weapon of the next rarity.
transformationchambers       |    314 |   13 | Adds transformation chambers that switch races/skin colors.
trash                        |     89 |    3 | Adds a trash button to the inventory, allowing players to scrap items for experience.
uniqueweapons                |      6 |    1 | Adds unique weapons to loot, then removing them from standard loot tables.
vendingmachines              |    168 |    2 | Placeable vending machines that sell drinks.
vertibirds                   |     86 |    3 | Adds Enclave vertibird entities that fly in, drop nuclear bombs, and fly away.
wars                         |      6 |    1 | Adds Wars/Conquests. Places a capture points on each side that the attacking/defending faction has to capture to win.
workbench                    |   2711 |    8 | Adds placeable workbenches that can be configured to slow craft items.
zetan_language               |    383 |    1 | Translates Zetan-race IC speech into alien phoneme audio and glyphs.
ziptying                     |    341 |    3 | Adds usable Zip Ties, used to tie up players so they can be searched and mugged.
